readable_name,dataset_name,dataset_config,hf_split,dataset_url,split_url,downloaded,local_path,num_rows
Dolci Think SFT Python,allenai/Dolci-Think-SFT-Python,default,train,https://huggingface.co/datasets/allenai/Dolci-Think-SFT-Python,https://huggingface.co/datasets/allenai/Dolci-Think-SFT-Python?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/allenai__Dolci-Think-SFT-Python,1090000
Nemotron Cascade SFT SWE,nvidia/Nemotron-Cascade-SFT-SWE,default,train,https://huggingface.co/datasets/nvidia/Nemotron-Cascade-SFT-SWE,https://huggingface.co/datasets/nvidia/Nemotron-Cascade-SFT-SWE?config=default&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-Cascade-SFT-SWE,162262
Nemotron Cascade SFT Stage 1 - code,nvidia/Nemotron-Cascade-SFT-Stage-1,code,code,https://huggingface.co/datasets/nvidia/Nemotron-Cascade-SFT-Stage-1,https://huggingface.co/datasets/nvidia/Nemotron-Cascade-SFT-Stage-1?config=code&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-Cascade-SFT-Stage-1,186323
Nemotron Cascade SFT Stage 2 - code splits,nvidia/Nemotron-Cascade-SFT-Stage-2,code,code,https://huggingface.co/datasets/nvidia/Nemotron-Cascade-SFT-Stage-2,https://huggingface.co/datasets/nvidia/Nemotron-Cascade-SFT-Stage-2?config=code&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-Cascade-SFT-Stage-2,112037
Nemotron Cascade SFT Stage 2 - code splits,nvidia/Nemotron-Cascade-SFT-Stage-2,swe_localization,swe_localization,https://huggingface.co/datasets/nvidia/Nemotron-Cascade-SFT-Stage-2,https://huggingface.co/datasets/nvidia/Nemotron-Cascade-SFT-Stage-2?config=swe_localization&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-Cascade-SFT-Stage-2,92265
Nemotron Cascade SFT Stage 2 - code splits,nvidia/Nemotron-Cascade-SFT-Stage-2,swe_repair,swe_repair,https://huggingface.co/datasets/nvidia/Nemotron-Cascade-SFT-Stage-2,https://huggingface.co/datasets/nvidia/Nemotron-Cascade-SFT-Stage-2?config=swe_repair&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-Cascade-SFT-Stage-2,86907
Nemotron Cascade SFT Stage 2 - code splits,nvidia/Nemotron-Cascade-SFT-Stage-2,swe_testgen,swe_testgen,https://huggingface.co/datasets/nvidia/Nemotron-Cascade-SFT-Stage-2,https://huggingface.co/datasets/nvidia/Nemotron-Cascade-SFT-Stage-2?config=swe_testgen&split=train,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-Cascade-SFT-Stage-2,31651
Nemotron Competitive Programming v1 - 6 splits,nvidia/Nemotron-Competitive-Programming-v1,default,competitive_coding_cpp_part00,https://huggingface.co/datasets/nvidia/Nemotron-Competitive-Programming-v1,https://huggingface.co/datasets/nvidia/Nemotron-Competitive-Programming-v1?config=default&split=competitive_coding_cpp_part00,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-Competitive-Programming-v1,
Nemotron Competitive Programming v1 - 6 splits,nvidia/Nemotron-Competitive-Programming-v1,default,competitive_coding_cpp_part01,https://huggingface.co/datasets/nvidia/Nemotron-Competitive-Programming-v1,https://huggingface.co/datasets/nvidia/Nemotron-Competitive-Programming-v1?config=default&split=competitive_coding_cpp_part01,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-Competitive-Programming-v1,
Nemotron Competitive Programming v1 - 6 splits,nvidia/Nemotron-Competitive-Programming-v1,default,competitive_coding_python_part00,https://huggingface.co/datasets/nvidia/Nemotron-Competitive-Programming-v1,https://huggingface.co/datasets/nvidia/Nemotron-Competitive-Programming-v1?config=default&split=competitive_coding_python_part00,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-Competitive-Programming-v1,
Nemotron Competitive Programming v1 - 6 splits,nvidia/Nemotron-Competitive-Programming-v1,default,competitive_coding_python_part01,https://huggingface.co/datasets/nvidia/Nemotron-Competitive-Programming-v1,https://huggingface.co/datasets/nvidia/Nemotron-Competitive-Programming-v1?config=default&split=competitive_coding_python_part01,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-Competitive-Programming-v1,
Nemotron Competitive Programming v1 - 6 splits,nvidia/Nemotron-Competitive-Programming-v1,default,infinibyte_part00,https://huggingface.co/datasets/nvidia/Nemotron-Competitive-Programming-v1,https://huggingface.co/datasets/nvidia/Nemotron-Competitive-Programming-v1?config=default&split=infinibyte_part00,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-Competitive-Programming-v1,
Nemotron Competitive Programming v1 - 6 splits,nvidia/Nemotron-Competitive-Programming-v1,default,infinibyte_part01,https://huggingface.co/datasets/nvidia/Nemotron-Competitive-Programming-v1,https://huggingface.co/datasets/nvidia/Nemotron-Competitive-Programming-v1?config=default&split=infinibyte_part01,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-Competitive-Programming-v1,
Nemotron CP SFT v2 - 4 splits,nvidia/Nemotron-SFT-Competitive-Programming-v2,default,exercism,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Competitive-Programming-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Competitive-Programming-v2?config=default&split=exercism,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-SFT-Competitive-Programming-v2,79244
Nemotron CP SFT v2 - 4 splits,nvidia/Nemotron-SFT-Competitive-Programming-v2,default,text_to_sql,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Competitive-Programming-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Competitive-Programming-v2?config=default&split=text_to_sql,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-SFT-Competitive-Programming-v2,96564
Nemotron CP SFT v2 - 4 splits,nvidia/Nemotron-SFT-Competitive-Programming-v2,default,competitive_coding_cpp,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Competitive-Programming-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Competitive-Programming-v2?config=default&split=competitive_coding_cpp,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-SFT-Competitive-Programming-v2,332559
Nemotron CP SFT v2 - 4 splits,nvidia/Nemotron-SFT-Competitive-Programming-v2,default,competitive_coding_python,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Competitive-Programming-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Competitive-Programming-v2?config=default&split=competitive_coding_python,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-SFT-Competitive-Programming-v2,336568
Nemotron Multilingual SFT v1 - code splits,nvidia/Nemotron-SFT-Multilingual-v1,default,code_de,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1?config=default&split=code_de,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-SFT-Multilingual-v1,133322
Nemotron Multilingual SFT v1 - code splits,nvidia/Nemotron-SFT-Multilingual-v1,default,code_es,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1?config=default&split=code_es,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-SFT-Multilingual-v1,131578
Nemotron Multilingual SFT v1 - code splits,nvidia/Nemotron-SFT-Multilingual-v1,default,code_fr,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1?config=default&split=code_fr,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-SFT-Multilingual-v1,136045
Nemotron Multilingual SFT v1 - code splits,nvidia/Nemotron-SFT-Multilingual-v1,default,code_it,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1?config=default&split=code_it,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-SFT-Multilingual-v1,143122
Nemotron Multilingual SFT v1 - code splits,nvidia/Nemotron-SFT-Multilingual-v1,default,code_ja,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1?config=default&split=code_ja,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-SFT-Multilingual-v1,126393
Nemotron Multilingual SFT v1 - code splits,nvidia/Nemotron-SFT-Multilingual-v1,default,code_zh,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1?config=default&split=code_zh,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-SFT-Multilingual-v1,154653
Nemotron SWE SFT v2 - agentless,nvidia/Nemotron-SFT-SWE-v2,default,agentless,https://huggingface.co/datasets/nvidia/Nemotron-SFT-SWE-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-SWE-v2?config=default&split=agentless,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/nvidia__Nemotron-SFT-SWE-v2,209976
UltraData SFT 2605 - Code non-thinking,openbmb/UltraData-SFT-2605,Code,Code/no_think,https://huggingface.co/datasets/openbmb/UltraData-SFT-2605,https://huggingface.co/datasets/openbmb/UltraData-SFT-2605?config=Code&split=no_think,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/openbmb__UltraData-SFT-2605,3000000
UltraData SFT 2605 - Code thinking,openbmb/UltraData-SFT-2605,Code,Code/think,https://huggingface.co/datasets/openbmb/UltraData-SFT-2605,https://huggingface.co/datasets/openbmb/UltraData-SFT-2605?config=Code&split=think,true,/wbl-fast/usrs/ee/code-swe-data/data/code-swe-terminal-non-agentic-sft/openbmb__UltraData-SFT-2605,2788465
